AENDERNDE_METHODEN	WRITING_METHODS
AENDERNDE_UND_LESENDE	WRITING_AND_READING
ALLE_RECHTE	ALL_PERMISSIONS
ANMELDUNG	LOGIN
Aktor	Actuator
AltsystemBeobachtung	LegacyReading
Angabe	Detail
Anlagenbild	PlantDiagram
BATTERIE_SCHWACH_PROZENT	BATTERY_LOW_PERCENT
BEFEHL	COMMAND
BEISPIELGRUPPEN	EXAMPLE_GROUPS
BESCHRIFTUNG	LABELS
BETRIEBSARTEN	OPERATING_MODES
BRUECKENZUSTAND	BRIDGE_STATE
Bediengeraetefehler	ControllerError
Befehl	Command
BefehlsTopics	CommandTopics
Befehlsfehler	CommandError
Befund	Finding
Belegung	Binding
Beobachtung	Reading
Betriebsartunbekannt	UnknownOperatingMode
Boost	Boost
BoostAntwort	BoostResponse
CONSTRAINT_FEHLER	CONSTRAINT_ERRORS
DiscoveryNachricht	DiscoveryMessage
Domaenenfehler	DomainError
EINGEBAUTE_MODI	BUILTIN_MODES
EINTRAEGE_JE_SEITE	EINTRAEGE_PER_PAGE
ERFORDERLICHE_FAEHIGKEIT	REQUIRED_CAPABILITY
ERREICHBARKEIT	AVAILABILITY
FELD_ZU_FAEHIGKEIT	FIELD_TO_CAPABILITY
FUNK_SCHWACH_LQI	RADIO_WEAK_LQI
FaehigkeitFehlt	CapabilityMissing
Fernbedienungsfehler	RemoteControlError
Formularfehler	FormError
GERAETELISTE	DEVICE_LIST
GERAETEZUSTAND	DEVICE_STATE
GESCHUETZTE_SEITEN	GESCHUETZTE_PAGEN
GESEHENE_AKTIONEN	SEEN_ACTIONS
GRENZEN	LIMITS
GRUND_CODE_FENSTER_OFFEN	REASON_CODE_WINDOW_OPEN
GRUND_CODE_FROSTSCHUTZ_SENSORAUSFALL	REASON_CODE_FROST_SENSOR_FAILURE
GRUND_CODE_GESPERRT_MINDESTDAUER	REASON_CODE_BLOCKED_MINIMUM_DURATION
GRUND_CODE_KEINE_QUELLE	REASON_CODE_NO_SOURCE
GRUND_CODE_UNVERAENDERT	REASON_CODE_UNCHANGED
GeraetAntwort	DeviceResponse
Geraetebeschreibung	DeviceDescription
Geraetebild	DevicePicture
Geraeteschau	DeviceSurvey
HOECHSTTEMPERATUR_C	MAXIMUM_TEMPERATURE_C
HttpAntwort	HttpResponse
JETZT	NOW
KEINE_QUELLE	NO_SOURCE
LUECKENFAKTOR	GAP_FACTOR
MELDUNG	NOTICE
MESSQUELLE	TEMPERATURE_SOURCE
MINDESTTEMPERATUR_C	MINIMUM_TEMPERATURE_C
MINUTEN_JE_WOCHE	MINUTES_PER_WEEK
MINUTEN_PRO_TAG	MINUTES_PER_DAY
MIN_PASSWORT_LAENGE	MIN_PASSWORD_LAENGE
MONTAG_ACHT	MONDAY_EIGHT
MerossSchalter	MerossSwitch
ModusAnlegen	CreateMode
ModusAntwort	ModeResponse
MqttVeroeffentlicher	MqttPublisher
NACH_NAME	BY_NAME
Nachricht	Message
Nachrichtenart	MessageKind
Nachrichtenstrom	MessageStream
OHNE_KAERTCHEN	WITHOUT_CHIP
PARAMETER	PARAMETERS
ParameterSchreiben	WriteParameter
Parameterbeschreibung	ParameterDescription
Parametergrenze	ParameterOutOfRange
Parameterunbekannt	UnknownParameter
PasskeyFehler	PasskeyError
RECHTEBEREICHE	PERMISSION_AREAS
Regelparameter	ControlParameters
RegelparameterAntwort	ControlParametersResponse
RegelparameterSchreiben	WriteControlParameters
STANDARDSCHRITT_K	DEFAULT_STEP_K
STANDARD_SITZUNGS_LEBENSDAUER_S	DEFAULT_SESSION_LIFETIME_S
STUMM_OHNE_VORGABEN_SEKUNDEN	SILENT_WITHOUT_DEFAULTS_SECONDS
STUNDEN_JE_TAG	HOURS_PER_DAY
Schaltergebnis	SwitchResult
Schaltpunktentwurf	SchedulePointDraft
ScharfSchalten	SetArmed
Schnittstelle	Interface
Sollwert	Setpoint
SollwertAntwort	SetpointResponse
SollwertEintrag	SetpointEntry
SollwerteSchreiben	WriteSetpoints
SteuerungAntwort	ControlResponse
Steuerungsfehler	ControlError
Stoerungsmeldung	FaultNotice
TAGE_JE_WOCHE	DAYS_PER_WEEK
THERMOSTATSCHRITT	THERMOSTAT_STEP
Tagesabschnitt	DaySegment
Tageswert	DayValue
TokenAntwort	TokenResponse
UebersteuerungAnlegen	CreateOverride
UebersteuerungAntwort	OverrideResponse
VERBOTEN_FUER_DOMAIN	VERBOTEN_FOR_DOMAIN
VERWALTUNGSRECHT	ADMIN_PERMISSION
Veroeffentlichungsstand	PublicationState
Verwaltungsfehler	AdministrationError
WOCHENTAGE	WEEKDAYS
WebAuthnGeraet	WebAuthnDevice
Zeitplanfehler	ScheduleError
ZeitplanpunktAnlegen	CreateSchedulePoint
ZeitplanpunktAntwort	SchedulePointResponse
ZeitplanpunktVerschieben	MoveSchedulePoint
ZoneAntwort	ZoneResponse
ZoneSchreiben	WriteZone
Zonenabhaengigkeiten	ZoneDependencies
Zonenbild	ZonePicture
Zonenstatistik	ZoneStatistics
ZonenzustandAntwort	ZoneStateResponse
ZuordnungBereitsVorhanden	AssignmentAlreadyExists
Zuschnitt	TopicCut
ZustandsTopics	StateTopics
_ANFRAGE_ID_MUSTER	_REQUEST_ID_PATTERN
_Antwort	_Response
_FAEHIGKEIT_NACH_MERKMAL	_CAPABILITY_BY_FEATURE
_FEHLERMELDUNG	_ERROR_MESSAGE
_FROSTSCHUTZ_STANDARD	_FROST_DEFAULT
_HaengenderStrom	_HangingStream
_Liste	_List
_MUSTER	_PATTERN
_McpServer	_McpServer
_Nachschlage	_Lookup
_PASSWORTFELDER	_PASSWORDFELDER
_RECHTE_AUS_DEM_MODELL	_PERMISSIONS_FROM_THE_MODEL
_SCHATTENINTERVALL_STANDARD_S	_SHADOW_INTERVAL_DEFAULT_S
_STANDARDFELDER	_DEFAULT_FIELDS
_Sitzungen	_Sessions
_TAGE	_DAYS
_ZAHL_ATTRIBUTE	_NUMBER_ATTRIBUTE
_actor_quelle	_actor_source
_aendernde_routen	_writing_routes
_als_muster	_as_pattern
_alter_in_worten	_age_in_words
_anbindung	_integration
_angemeldeter_benutzer	_logged_in_user
_anmelden	_log_in
_anmeldungen	_discovery_messages
_antwort	_response
_aufgerufene_endpunkte	_called_endpoints
_auswahlwerte	_choice_values
_bedienbefehle	_controller_commands
_befehl_ausfuehren	_execute_command
_befehle	_commands
_beispielzustand	_example_state
_benutzer_mit_recht	_user_with_permission
_benutzerliste	_userliste
_benutzerrechte	_userpermissions
_berechtigungen_fuer_einrichtungsassistenten	_permissions_for_einrichtungsassistenten
_beschreibung_speichern	_beschreibung_save
_beschriften	_label_for
_beschriftung	_label
_bestand	_inventory
_betriebsart	_operating_mode
_bild	_picture
_dauertext	_duration_text
_eigene_datenbank	_own_database
_eigener_benutzer	_own_user
_einstellungen	_settingen
_eintrag	_entry
_endpunkte_mitschreiben	_record_endpoints
_erreichbarkeit_verarbeiten	_process_availability
_erster_versuch_scheitert	_first_attempt_fails
_fachfehler	_domain_error
_faehigkeit	_capability
_faehigkeiten	_capabilities
_faehigkeiten_sammeln	_capabilitiesn_sammeln
_fehler	_errors
_fenster_offen	_window_open
_fensterlage	_window_situation
_formular_erneut	_form_again
_formularwerte	_form_values
_fremde_sitzung	_foreign_session
_frostschutz_sollwert	_frost_setpoint
_geloeschte_abmelden	_deregister_deleted
_gepruefte_werte	_checked_values
_geraet	_device
_geraete_id	_devices_id
_geraeteblock	_devicesblock
_geraeteliste_verarbeiten	_device_list_process
_geraetename	_device_name
_geraetenamen	_device_names
_gruppe_mit_rechten	_group_with_permissions
_gruppenliste	_groupliste
_haette_nicht_starten_duerfen	_should_not_have_started
_hinweis	_hint
_kennung	_identifier
_klartext	_plaintext
_kopf_der_migrationen	_migration_head
_lauf	_run
_laufende_meldungen	_running_notices
_laufendes_ende	_runendes_ende
_letzte_schaltung	_last_switch
_letzter_verwalter	_last_administrator
_mcp_server_klasse	_mcp_server_class
_messzeitpunkt	_measured_at
_mit_csrf	_with_csrf
_mit_faehigkeit	_with_capability
_modi	_modes
_modus	_mode
_modus_oder_404	_mode_or_404
_modusformular	_mode_form
_moduswerte_pruefen	_modewerte_check
_moduszugriff	_modezugriff
_mqtt_nachricht_verarbeiten	_mqtt_message_process
_nachrichten	_messages
_name_vergeben	_name_taken
_neuer_client	_newer_client
_nutzlast	_payload
_oder_standard	_or_standard
_ohne_diese_gruppe_kein_verwalter	_without_this_group_no_administrator
_ohne_echte_wartezeit	_without_real_waiting
_or_standard	_or_default
_parameter_pruefen	_check_parameters
_parameterseite	_parameterpage
_punkt	_point
_punkt_oder_404	_point_or_404
_punkte	_points
_punktminute	_point_minute
_quelle	_source
_recht	_permission
_schalten_erlaubt	_switching_allowed
_scharf	_armed
_schattenschleife	_shadowschleife
_seite	_page
_sekunden	_seconds
_sensormeldungen	_sensor_notices
_sicherstellen_offen	_ensure_open
_sichtbare_zone	_visible_zone
_sitzung	_http_session
_sollwertantworten	_setpoint_responses
_sollwertseite	_setpointpage
_sqlite_transaktion_beginnen	_begin_sqlite_transaction
_steuerungsantwort	_control_response
_stunde_lesen	_read_hour
_tagesspur	_day_track
_tastendruck_ausfuehren	_execute_button_press
_temperatur_text	_temperature_text
_tokenliste	_token_list
_uebernahmeseite	_uebernahmepage
_umgebung_fuer_die_ganze_sitzung	_environment_for_the_whole_session
_veroeffentlichung_abweisen	_reject_publication
_vorgaben	_defaults
_vorgabenpage	_defaults_page
_vorgabenseite	_defaults_page
_vorheriger_zustand	_previous_state
_warnen_wenn_ungeschuetzt_erreichbar	_warn_if_reachable_unprotected
_webhook_senden	_send_webhook
_weiterer_zonenname	_another_zone_name
_werkzeuge_registrieren	_register_tools
_wert	_value
_werte	_values
_woche	_week
_wochenminute	_week_minute
_zahl	_number
_zeitplanantworten	_schedule_responses
_zeitplanseite	_schedulepage
_zeitpunkt	_moment
_zeitpunkt_belegt	_moment_taken
_zone_anmelden	_register_zone
_zone_mit_modus	_zone_with_mode
_zone_mit_plan	_zone_with_plan
_zone_mit_zustand	_zone_with_state
_zone_oder_404	_zone_or_404
_zone_verarbeiten	_zone_process
_zonen	_zone
_zonenbasis	_zonebasis
_zonenbezogen	_zone_scoped
_zonenname	_zone_name
_zuletzt_gedrueckt	_last_pressed
_zuordnen	_assign
_zustand	_state
_zustand_verarbeiten	_state_process
ablauf	expiry
abschnitt	segment
abschnitte	segments
abstand	interval
aendern	update
aktion_ausfuehren	execute_aktion
aktiv	active
aktive_tokens	active_tokens
aktor	actuator
aktoren	actuators
aktoren_modul	actuators_module
alle_rechte_anlegen	create_alle_permissions
als_dauer	as_duration
alt_geraet	old_device
alte_challenges_aufraeumen	old_challenges_aufraeumen
alte_messwerte_loeschen	delete_old_measurements
alte_schreibweise	old_schreibweise
alte_stunden	old_hours
alte_zuordnungen	old_assignments
alter	age
alter_in_worten	age_in_words
alter_punkt	old_point
alter_s	age_s
alter_tage	old_tage
alter_zustand	old_state
anbindung	integration
andere_quelle	other_source
anlage_anzeigen	show_anlage
anlagenbild	plant_diagram
anlegen	create
anmelde	login
anmelden	log_in
anmeldung	login
anmeldung_abschliessen	finish_authentication
anmeldung_argumente	authentication_options
anmeldung_beginnen	begin_authentication
anmeldung_pruefen	verify_authentication
antwort	response
anzahl	count
art	kind
art_id	kind_id
arten	kinds
auditliste	audit_list
aufgeloester_sollwert	resolved_setpoint
aufgerufene_endpunkte	called_endpoints
ausgangswert	initial_value
ausser_zone_id	except_zone_id
batterie	battery
batteriegeraet	battery_device
bediengeraete	controllere
befehl	command
befehl_code	command_code
befehl_name	command_name
befehls_abonnements	commands_abonnements
befehls_topics	command_topics
begruendung	reason
belegung	binding
belegung_setzen	set_binding
benachrichtigung	bemessageigung
benutzer	user
benutzer_aktiv_ansicht	user_active_view
benutzer_aktiv_setzen	set_user_active
benutzer_anlegen	create_user
benutzer_anlegen_ansicht	user_create_view
benutzer_id	user_id
benutzer_mit_rechten	user_with_permissions
benutzer_passwort_ansicht	user_password_view
benutzerliste	userliste
beobachtung	reading
beobachtung_aus_topic	reading_from_topic
beobachtungen	readings
beobachtungen_aus_nutzlast	readings_from_payload
berechtigung	permission
berechtigung_obj	permission_obj
beschreibungen_aus_bridge_liste	list_beschreibungen_from_bridge
beschriftung	label
betriebsart	operating_mode
betriebsart_setzen	set_operating_mode
betriebsarten	operating_modes
bewertung	assessment
bild	picture
bilder	pictures
bis_naechste_schaltung	bis_next_schaltung
boost_anmeldung	boost_discovery
bruecke	bridge
bruecke_erreichbar	bridge_reachable
brueckenmeldung	bridge_notice
ca_pfade	ca_pathe
client_mit_benutzer	client_with_user
cookie_wert	cookie_value
csrf_pruefen	check_csrf
dauer	duration
dauer_minuten	duration_minutes
dauer_s	duration_s
db_pfad	db_path
discovery_abmeldung	discovery_abnotice
discovery_anmeldung	zone_discovery
discovery_nutzlast	discovery_payload
domaene_benutzer_anlegen	domain_create_user
domaene_boost	domain_boost
domaene_parameter_setzen	domain_set_parameter
domaene_uebersteuerung_aufheben	domain_cancel_override
domaene_zeitplanpunkt_verschieben	domain_move_schedule_point
eigene_engine	own_engine
eigene_id	own_id
einstellung	setting
einstellungen	settingen
einstellungen_anlegen	create_settingen
einstellungen_anzeigen	show_settingen
einstellungen_speichern	save_settingen
eintraege	entries
eintrag	entry
ende_der_naechsten_schaltung	ende_the_naechsten_schaltung
ergebnis	result
ergebnisse	results
erreichbar	reachable
erreichbarkeit	availability
erst	first
erste	first
erste_zeilen	first_rows
erstellen	create_entry
erster	first
