HOECHSTTEMPERATUR_C	MAXIMUM_TEMPERATURE_C
MINDESTTEMPERATUR_C	MINIMUM_TEMPERATURE_C
_aufgerufene_endpunkte	_called_endpoints
_kopf_der_migrationen	_migration_head
_name_vergeben	_name_taken
_zeitpunkt_belegt	_moment_taken
alte_messwerte_loeschen	delete_old_measurements
brueckenmeldung	bridge_notice
modi.py	modes.py
regelparameter	control_parameters
scharf_schalten	arm
senden	send
test_endpunktabdeckung.py	test_endpoint_coverage.py
thermoctl.db.schemastand	thermoctl.db.schema_state
thermoctl.db.schemastand._kopf_der_migrationen	thermoctl.db.schema_state._migration_head
thermoctl.domain.altbestand	thermoctl.domain.legacy_data
thermoctl.domain.beobachtung	thermoctl.domain.reading
zonenzustand_fortschreiben	advance_zone_state
