ALLE_RECHTE	ALL_PERMISSIONS
DiscoveryNachricht	DiscoveryMessage
EINTRAEGE_JE_SEITE	ENTRIES_PER_PAGE
FaehigkeitFehlt	CapabilityMissing
GESCHUETZTE_SEITEN	PROTECTED_PAGES
GESEHENE_AKTIONEN	SEEN_ACTIONS
MIN_PASSWORT_LAENGE	MIN_PASSWORD_LENGTH
MerossSchalter	MerossSwitch
Nachricht	Message
Nachrichtenart	MessageKind
Nachrichtenstrom	MessageStream
PasskeyFehler	PasskeyError
RECHTEBEREICHE	PERMISSION_AREAS
STANDARD_SITZUNGS_LEBENSDAUER_S	DEFAULT_SESSION_LIFETIME_S
Tageswert	DayValue
VERBOTEN_FUER_DOMAIN	FORBIDDEN_FOR_DOMAIN
VERWALTUNGSRECHT	ADMIN_PERMISSION
ZuordnungBereitsVorhanden	AssignmentAlreadyExists
_ANFRAGE_ID_MUSTER	_REQUEST_ID_PATTERN
_FEHLERMELDUNG	_ERROR_MESSAGE
_PASSWORTFELDER	_PASSWORD_FIELDS
_RECHTE_AUS_DEM_MODELL	_MODEL_PERMISSIONS
_Sitzungen	_Sessions
_benutzer_mit_recht	_user_with_permission
_benutzerliste	_user_list
_benutzerrechte	_user_permissions
_berechtigungen_fuer_einrichtungsassistenten	_permissions_for_setup_wizard
_beschreibung_speichern	_save_description
_einstellungen	_settings
_erreichbarkeit_verarbeiten	_process_availability
_faehigkeiten_sammeln	_collect_capabilities
_formularwerte	_form_values
_fremde_sitzung	_foreign_session
_gepruefte_werte	_checked_values
_geraeteliste_verarbeiten	_process_device_list
_gruppe_mit_rechten	_group_with_permissions
_gruppenliste	_group_list
_mcp_server_klasse	_mcp_server_class
_moduswerte_pruefen	_check_mode_values
_mqtt_nachricht_verarbeiten	_process_mqtt_message
_nachrichten	_messages
_recht	_permission
_sitzung	_http_session
_tastendruck_ausfuehren	_execute_button_press
_uebernahmeseite	_schedule_adopt_page
_umgebung_fuer_die_ganze_sitzung	_environment_for_the_whole_session
_wert	_value
_werte	_values
_zone_verarbeiten	_process_zone
_zuletzt_gedrueckt	_last_pressed
_zuordnen	_assign
_zustand_verarbeiten	_process_state
alle_rechte_anlegen	create_all_permissions
alte_challenges_aufraeumen	cleanup_old_challenges
alte_schreibweise	old_spelling
alte_zuordnungen	old_assignments
alter_tage	age_days
ausgangswert	initial_value
benachrichtigung	notification
benutzer_mit_rechten	user_with_permissions
benutzer_passwort_ansicht	user_password_view
benutzerliste	user_list
berechtigung	ensure_permission
berechtigung_obj	permission_obj
beschreibungen_aus_bridge_liste	descriptions_from_bridge_list
bewertung	assessment
bis_naechste_schaltung	until_next_switch
cookie_wert	cookie_value
discovery_abmeldung	discovery_removal
einstellungen	settings
einstellungen_anlegen	create_settings
einstellungen_anzeigen	show_settings
einstellungen_speichern	save_settings
ende_der_naechsten_schaltung	end_of_next_switch
filterwerte	filter_values
formularwerte	form_values
fremde_zuordnung	foreign_assignment
gepruefte_werte	checked_values
geraet_zuordnen	assign_device
geraet_zuordnen_view	assign_device_view
geraeteuebersicht	device_overview
geraetezuordnung_router	device_assignment_router
gruppenliste	group_list
gruppenrechte_setzen	set_group_permissions
hash_wert	hash_value
hat_recht	has_permission
kontaktwert	contact_value
meross_ergebnis	meross_result
meross_fehler	meross_error
mit_recht	with_permission
modusliste	mode_list
nachricht	message
nachricht_verarbeiten	process_message
nachrichten	messages
naechste_schaltung	next_switch
neue_zuordnung	new_assignment
neuer_pfad	new_path
neues_geheimnis	new_secret
neues_passwort	new_password
ohne_recht	without_permission
passkey_anlegen	create_passkey
passkey_entfernen	remove_passkey
passkey_liste	passkey_list
passkey_loeschen	delete_passkey
passwort	password
passwort_formularfehler	password_form_error
passwort_hash	password_hash
passwort_setzen	set_password
quelle_code	source_code
recht	permission
recht_entziehen	revoke_permission
recht_id	permission_id
recht_vergeben	grant_permission
rechte	permissions
rechte_setzen_ansicht	permissions_set_view
registrierung_abschliessen	finish_registration
registrierung_beginnen	begin_registration
registrierung_speichern	save_registration
rohwert	raw_value
rohwerte	raw_values
schaltpunkte_aus_nachtstunden	schedule_points_from_night_hours
server_klasse	server_class
sichere_werte	safe_values
sitzung	http_session
sitzung_anlegen	create_session
sitzung_aufloesen	resolve_session
sitzung_geheimnis	session_secret
sitzung_widerrufen	revoke_session
sitzungsdauer_s	session_duration_s
sitzungslebensdauer_s	session_lifetime_s
token_ausstellen_ansicht	token_issue_view
token_mit_rechten	token_with_permissions
token_widerrufen_ansicht	token_revoke_view
veroeffentlichungsstand	publication_state
vorheriger_wert	previous_value
wert	value
werte	values
zeitplanpunkt_umsetzen	reposition_schedule_point
zone_loeschen_bestaetigen	confirm_zone_delete
zone_mit_wert	zone_with_value
zone_ohne_wert	zone_without_value
zonenliste	zone_list_view
zonenwert	zone_value
zuletzt_gedrueckt	last_pressed
zuordnung	assignment
zuordnung_id	assignment_id
zuordnungen	assignments
